condom,floor,ascensore,accdisabili,indivsapt,totlocali,camereletto,bagno,status,heating,photosnum,totpiani,price,sqfeet,nroom,fibra_ottica,videocitofono,impianto_di_allarme,reception,porta_blindata,esposizione_esterna,cancello_elettrico,portiere_intera_giornata,balcone,arredato,impianto_tv_centralizzato,armadio_a_muro,portiere_mezza_giornata,caminetto,esposizione_interna,mansarda,parzialmente_arredato,taverna,idromassaggio,terrazza,esposizione_doppia,giardino_comune,giardino_privato
310,6 piano,con ascensore,no,Appartamento,Trilocale,2 camere da letto,2 bagni,Nuovo / In costruzione,"Centralizzato, a radiatori, alimentato a metano",20,7 piani,2450,110,3,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no
117,1 piano,no,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Autonomo, a radiatori, alimentato a metano",20,5 piani,1200,82,2,yes,no,no,yes,yes,no,no,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no
417,4 piano,con ascensore,no,Appartamento,Pentalocale,3 camere da letto,3 bagni,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a metano",20,4 piani,3000,180,5,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no
117,1 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Nuovo / In costruzione,"Autonomo, a radiatori, alimentato a metano",20,5 piani,1300,82,2,yes,no,no,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no
133,2 piano,con ascensore,no,Appartamento,Trilocale,2 camere da letto,1 bagno,Ottimo / Ristrutturato,"Autonomo, a radiatori, alimentato a metano",20,5 piani,1700,82,3,yes,no,no,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no
170,4 piano,con ascensore,con accesso disabili,Appartamento,Pentalocale,3 camere da letto,3 bagni,Ottimo / Ristrutturato,"Autonomo, a radiatori, alimentato a gas",20,5 piani,3850,157,5,yes,yes,no,no,yes,yes,yes,no,no,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no
333,5 piano,con ascensore,con accesso disabili,Appartamento,Pentalocale,3 camere da letto,3 bagni,Buono / Abitabile,"Centralizzato, a radiatori, alimentato a metano",20,5 piani,5000,208,5,yes,yes,no,no,yes,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,yes,yes,yes,no
317,3 piano,con ascensore,no,Appartamento,Quadrilocale,3 camere da letto,2 bagni,Buono / Abitabile,"Centralizzato, a radiatori, alimentato a metano",20,5 piani,2916,160,4,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,yes,no
350,2 piano,con ascensore,con accesso disabili,Appartamento,Bilocale,1 camera da letto,2 bagni,Ottimo / Ristrutturato,"Centralizzato, a pavimento, alimentato a gpl",16,4 piani,2900,90,2,yes,yes,yes,no,yes,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,no
100,Piano rialzato,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Nuovo / In costruzione,"Centralizzato, a radiatori, alimentato a metano",20,5 piani,1200,45,2,yes,no,no,yes,yes,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no
150,1 piano,no,no,Appartamento,Monolocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a metano",18,3 piani,600,30,1,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no
450,3 piano,con ascensore,no,Appartamento,Trilocale,2 camere da letto,2 bagni,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a gas",20,5 piani,3500,143,3,no,no,no,no,yes,no,no,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,yes,no,no
100,Piano rialzato,no,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a gpl",13,5 piani,1000,45,2,yes,no,no,no,yes,no,yes,no,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,no
80,Piano terra,con ascensore,con accesso disabili,Loft,Trilocale,1 camera da letto,1 bagno,Nuovo / In costruzione,"Autonomo, a radiatori, alimentato a metano",20,5 piani,1450,86,3,yes,no,yes,no,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,no,yes,no,no,yes,no,yes
80,da 3 a 4,no,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Autonomo, a radiatori, alimentato a gas",10,3 piani,1050,70,2,yes,yes,no,no,yes,no,yes,no,no,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no
190,5 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a metano",18,6 piani,1375,90,2,yes,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no
70,1 piano,no,no,Appartamento,Monolocale,1 camera da letto,1 bagno,Nuovo / In costruzione,"Autonomo, ad aria, alimentazione elettrica",20,3 piani,750,35,1,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
100,2 piano,con ascensore,con accesso disabili,Appartamento,Quadrilocale,3 camere da letto,2 bagni,Ottimo / Ristrutturato,"Autonomo, a radiatori, alimentato a metano",20,5 piani,2900,144,4,yes,yes,no,no,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no
198.110948090842,2 piano,no,no,Appartamento,Trilocale,2 camere da letto,1 bagno,Buono / Abitabile,"Centralizzato, a radiatori, alimentato a metano",20,8 piani,1050,80,3,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no
